as_of_date,customer_id,customer_name,email,account_id,branch,city,account_type,kyc_status,balance,customer_since
2026-01-01,C022,Customer 22,customer22@novabank.com,A1022,Bengaluru,Pune,Savings,VERIFIED,61804,2023-10-21
2026-01-01,C023,Customer 23,customer23@novabank.com,A1023,Bengaluru,Bengaluru,Current,VERIFIED,36267,2022-03-16
2026-01-01,C024,Customer 24,customer24@novabank.com,A1024,Pune,Bengaluru,Current,VERIFIED,53658,2025-08-16
2026-01-01,C025,Customer 25,customer25@novabank.com,A1025,Hyderabad,Pune,Savings,VERIFIED,67806,2025-04-01
2026-01-01,C026,Customer 26,customer26@novabank.com,A1026,Pune,Bengaluru,Current,VERIFIED,25998,2022-01-16
2026-01-01,C027,Customer 27,customer27@novabank.com,A1027,Hyderabad,Bengaluru,Current,VERIFIED,97524,2024-07-23
2026-01-01,C028,Customer 28,customer28@novabank.com,A1028,Bengaluru,Hyderabad,Savings,VERIFIED,18714,2020-10-27
2026-01-01,C029,Customer 29,customer29@novabank.com,A1029,Mumbai,Pune,Current,VERIFIED,71922,2022-10-14
2026-01-01,C030,Customer 30,customer30@novabank.com,A1030,Mumbai,Hyderabad,Current,VERIFIED,82046,2021-07-01
2026-01-01,C031,Customer 31,customer31@novabank.com,A1031,Pune,Pune,Savings,VERIFIED,94460,2025-08-20
2026-01-01,C032,Customer 32,customer32@novabank.com,A1032,Mumbai,Pune,Savings,VERIFIED,63013,2021-10-13
2026-01-01,C033,Customer 33,customer33@novabank.com,A1033,Bengaluru,Mumbai,Current,VERIFIED,63818,2022-01-27
2026-01-01,C034,Customer 34,customer34@novabank.com,A1034,Pune,Pune,Savings,VERIFIED,98310,2021-02-06
2026-01-01,C035,Customer 35,customer35@novabank.com,A1035,Pune,Pune,Savings,VERIFIED,55178,2025-06-26
2026-01-01,C036,Customer 36,customer36@novabank.com,A1036,Mumbai,Mumbai,Savings,VERIFIED,65928,2023-05-11
2026-01-01,C037,Customer 37,customer37@novabank.com,A1037,Pune,Mumbai,Savings,VERIFIED,56875,2019-10-01
2026-01-01,C038,Customer 38,customer38@novabank.com,A1038,Hyderabad,Mumbai,Current,VERIFIED,61232,2019-09-08
2026-01-01,C039,Customer 39,customer39@novabank.com,A1039,Hyderabad,Bengaluru,Savings,VERIFIED,71097,2019-10-16
2026-01-01,C040,Customer 40,customer40@novabank.com,A1040,Bengaluru,Mumbai,Current,VERIFIED,47361,2019-09-12
2026-01-01,C041,Customer 41,customer41@novabank.com,A1041,Pune,Pune,Savings,VERIFIED,22598,2024-08-14
2026-01-01,C042,Customer 42,customer42@novabank.com,A1042,Mumbai,Hyderabad,Current,VERIFIED,13261,2024-12-23
2026-01-01,C043,Customer 43,customer43@novabank.com,A1043,Mumbai,Pune,Savings,VERIFIED,29632,2024-09-05
2026-01-01,C044,Customer 44,customer44@novabank.com,A1044,Mumbai,Mumbai,Savings,VERIFIED,67682,2019-05-06
2026-01-01,C045,Customer 45,customer45@novabank.com,A1045,Hyderabad,Pune,Current,VERIFIED,51678,2020-12-25
2026-01-01,C046,Customer 46,customer46@novabank.com,A1046,Mumbai,Hyderabad,Current,VERIFIED,14121,2020-11-23
2026-01-01,C047,Customer 47,customer47@novabank.com,A1047,Bengaluru,Mumbai,Savings,VERIFIED,95822,2022-12-19
2026-01-01,C048,Customer 48,customer48@novabank.com,A1048,Pune,Mumbai,Current,VERIFIED,56331,2020-05-12
2026-01-01,C049,Customer 49,customer49@novabank.com,A1049,Pune,Pune,Savings,VERIFIED,24542,2024-12-19
2026-01-01,C050,Customer 50,customer50@novabank.com,A1050,Bengaluru,Mumbai,Current,VERIFIED,93251,2023-09-23
2026-01-01,C051,Customer 51,customer51@novabank.com,A1051,Bengaluru,Pune,Current,VERIFIED,46923,2019-06-12
2026-01-01,C052,Customer 52,customer52@novabank.com,A1052,Hyderabad,Mumbai,Current,VERIFIED,93598,2020-11-09
2026-01-01,C053,Customer 53,customer53@novabank.com,A1053,Hyderabad,Hyderabad,Savings,VERIFIED,67494,2021-05-13
2026-01-01,C054,Customer 54,customer54@novabank.com,A1054,Hyderabad,Hyderabad,Current,VERIFIED,75514,2023-03-21
2026-01-01,C055,Customer 55,customer55@novabank.com,A1055,Bengaluru,Mumbai,Savings,VERIFIED,66702,2020-05-20
2026-01-01,C056,Customer 56,customer56@novabank.com,A1056,Pune,Pune,Savings,VERIFIED,62816,2021-06-25
2026-01-01,C057,Customer 57,customer57@novabank.com,A1057,Hyderabad,Hyderabad,Savings,VERIFIED,53916,2020-09-01
2026-01-01,C058,Customer 58,customer58@novabank.com,A1058,Pune,Bengaluru,Current,VERIFIED,82648,2019-07-09
2026-01-01,C059,Customer 59,customer59@novabank.com,A1059,Pune,Hyderabad,Savings,VERIFIED,91000,2020-03-11
2026-01-01,C060,Customer 60,customer60@novabank.com,A1060,Mumbai,Pune,Current,VERIFIED,32322,2021-03-28
2026-01-01,C061,Customer 61,customer61@novabank.com,A1061,Pune,Hyderabad,Current,VERIFIED,45702,2019-09-16
2026-01-01,C062,Customer 62,customer62@novabank.com,A1062,Mumbai,Bengaluru,Savings,VERIFIED,41964,2023-01-14
2026-01-01,C063,Customer 63,customer63@novabank.com,A1063,Bengaluru,Mumbai,Current,VERIFIED,30158,2019-11-15
2026-01-01,C064,Customer 64,customer64@novabank.com,A1064,Pune,Mumbai,Savings,VERIFIED,21365,2021-09-10
2026-01-01,C065,Customer 65,customer65@novabank.com,A1065,Bengaluru,Pune,Savings,VERIFIED,94384,2021-12-24
2026-01-01,C066,Customer 66,customer66@novabank.com,A1066,Bengaluru,Hyderabad,Savings,VERIFIED,26476,2021-02-06
2026-01-01,C067,Customer 67,customer67@novabank.com,A1067,Bengaluru,Mumbai,Savings,VERIFIED,91278,2022-09-09
2026-01-01,C068,Customer 68,customer68@novabank.com,A1068,Pune,Bengaluru,Current,VERIFIED,19886,2021-05-23
2026-01-01,C069,Customer 69,customer69@novabank.com,A1069,Mumbai,Bengaluru,Savings,VERIFIED,19016,2025-08-14
2026-01-01,C070,Customer 70,customer70@novabank.com,A1070,Pune,Hyderabad,Savings,VERIFIED,98024,2020-10-26
2026-01-01,C071,Customer 71,customer71@novabank.com,A1071,Hyderabad,Hyderabad,Savings,VERIFIED,22145,2022-07-15
2026-01-01,C072,Customer 72,customer72@novabank.com,A1072,Pune,Mumbai,Savings,VERIFIED,84003,2020-10-05
2026-01-01,C073,Customer 73,customer73@novabank.com,A1073,Mumbai,Hyderabad,Current,VERIFIED,98602,2024-03-14
2026-01-01,C074,Customer 74,customer74@novabank.com,A1074,Pune,Mumbai,Savings,VERIFIED,48096,2021-01-27
2026-01-01,C075,Customer 75,customer75@novabank.com,A1075,Mumbai,Pune,Savings,VERIFIED,83350,2019-01-26
2026-01-01,C076,Customer 76,customer76@novabank.com,A1076,Hyderabad,Mumbai,Current,VERIFIED,55803,2025-02-10
2026-01-01,C077,Customer 77,customer77@novabank.com,A1077,Mumbai,Pune,Savings,VERIFIED,64016,2023-09-10
2026-01-01,C078,Customer 78,customer78@novabank.com,A1078,Hyderabad,Hyderabad,Current,VERIFIED,86063,2023-04-07
2026-01-01,C079,Customer 79,customer79@novabank.com,A1079,Pune,Mumbai,Current,VERIFIED,72990,2025-10-25
2026-01-01,C080,Customer 80,customer80@novabank.com,A1080,Pune,Mumbai,Savings,VERIFIED,19063,2023-06-07
2026-01-01,C081,Customer 81,customer81@novabank.com,A1081,Hyderabad,Bengaluru,Savings,VERIFIED,83460,2023-11-05
2026-01-01,C082,Customer 82,customer82@novabank.com,A1082,Mumbai,Pune,Current,VERIFIED,72664,2022-07-21
2026-01-01,C083,Customer 83,customer83@novabank.com,A1083,Pune,Pune,Savings,VERIFIED,88856,2024-10-15
2026-01-01,C084,Customer 84,customer84@novabank.com,A1084,Mumbai,Bengaluru,Savings,VERIFIED,99141,2025-08-27
2026-01-01,C085,Customer 85,customer85@novabank.com,A1085,Mumbai,Mumbai,Savings,VERIFIED,70544,2025-09-07
2026-01-01,C086,Customer 86,customer86@novabank.com,A1086,Hyderabad,Bengaluru,Current,VERIFIED,79621,2021-10-06
2026-01-01,C087,Customer 87,customer87@novabank.com,A1087,Pune,Hyderabad,Current,VERIFIED,72961,2021-07-28
2026-01-01,C088,Customer 88,customer88@novabank.com,A1088,Hyderabad,Pune,Savings,VERIFIED,25991,2019-10-12
2026-01-01,C089,Customer 89,customer89@novabank.com,A1089,Pune,Hyderabad,Current,VERIFIED,85567,2024-12-18
2026-01-01,C090,Customer 90,customer90@novabank.com,A1090,Pune,Hyderabad,Savings,VERIFIED,81900,2024-01-15
2026-01-01,C091,Customer 91,customer91@novabank.com,A1091,Bengaluru,Pune,Current,VERIFIED,80407,2025-03-15
2026-01-01,C092,Customer 92,customer92@novabank.com,A1092,Mumbai,Mumbai,Current,VERIFIED,45556,2024-09-04
2026-01-01,C093,Customer 93,customer93@novabank.com,A1093,Mumbai,Mumbai,Savings,VERIFIED,82969,2020-09-19
2026-01-01,C094,Customer 94,customer94@novabank.com,A1094,Hyderabad,Hyderabad,Current,VERIFIED,72043,2019-12-23
2026-01-01,C095,Customer 95,customer95@novabank.com,A1095,Hyderabad,Bengaluru,Current,VERIFIED,10534,2023-09-02
2026-01-01,C096,Customer 96,customer96@novabank.com,A1096,Hyderabad,Hyderabad,Current,VERIFIED,66080,2021-02-18
2026-01-01,C097,Customer 97,customer97@novabank.com,A1097,Pune,Bengaluru,Current,VERIFIED,55305,2020-02-01
2026-01-01,C098,Customer 98,customer98@novabank.com,A1098,Pune,Bengaluru,Savings,VERIFIED,48935,2019-08-15
2026-01-01,C099,Customer 99,customer99@novabank.com,A1099,Bengaluru,Pune,Current,VERIFIED,21082,2025-03-13
2026-01-01,C100,Customer 100,customer100@novabank.com,A1100,Pune,Mumbai,Current,VERIFIED,29705,2019-12-08
